|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1027  | Madras High Court   | Justice Ashok Mehta        | 2019-06-12 |       2019-10-20 | Contract          | In favor of D (Defendant) | Trademark infringement    | Companies Act, 2013                    | Hero MotoCorp             | Wesley Ashley              | Ok technology yes law before camera theory anyone term pass light environment walk head ten evening main high hit available fill sing.                                                                               |     10000000 | Month civil peace state professor unit top within deal.                                                                                                | Picture city government customer writer down scene mind exist nice.                                                                             | Case E vs F      | Case settled out of court | Doctrine of Severability            | Case A vs B        | Insolvency and Bankruptcy Code, 2016   | Hit rich small people from including career hard.                                                                       |                   3.2 |                8.5 |                              1 |                  0 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1028  | Madras High Court   | Justice Bhavana Gupta      | 2018-08-10 |       2019-02-17 | IP                | In favor of D (Defendant) | Breach of confidentiality | Indian Contract Act, 1872              | HDFC Bank                 | Jessica Nichols            | Explain once spring agent watch office few throw science call camera run car pattern new stand need step.                                                                                                            |     50000000 | Of along over want it finish finish land reach physical PM.                                                                                            | Writer wind walk gas fire medical current eight save dog cause turn class section night.                                                        | Case A vs B      | Case settled out of court | Principle of Legitimate Expectation | Case G vs H        | Negotiable Instruments Act, 1881       | Man reveal tough stand main movement board ever impact.                                                                 |                   6.6 |                8.6 |                              0 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1029  | Bombay High Court   | Justice Vishnu Kothari     | 2015-09-03 |       2015-12-31 | Corporate Dispute | In favor of P (Plaintiff) | Fraud                     | Companies Act, 2013                    | Jennifer Frazier          | ITC Limited                | Score century left almost responsibility society space realize offer by ten road walk leave court rich.                                                                                                              |      5000000 | If and lay factor truth hospital hundred build though wrong here agency environmental.                                                                 | Style guy these nature society find east cup visit specific deep cause apply far summer.                                                        | Case E vs F      | Plaintiff's claim upheld  | Doctrine of Severability            | Case G vs H        | Specific Relief Act, 1963              | Daughter sort suddenly agree office top minute man different reason physical back all adult.                            |                   7.5 |                4.3 |                              1 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1030  | Bombay High Court   | Justice Suresh Reddy       | 2015-06-24 |       2015-11-23 | Contract          | In favor of P (Plaintiff) | Fraud                     | Companies Act, 2013                    | Sun Pharmaceutical        | Axis Bank                  | We present only effort of head adult sea type girl we class past artist smile like however.                                                                                                                          |     50000000 | Lead walk structure argue shake down paper character inside player allow until break explain employee.                                                 | Memory campaign factor phone draw edge number doctor owner thing key they hotel need unit charge.                                               | Case A vs B      | Case settled out of court | Doctrine of Pith and Substance      | Case G vs H        | Indian Contract Act, 1872              | Even central drive different drive environment build.                                                                   |                   9.2 |                5.5 |                              1 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1031  | Bombay High Court   | Justice Priya Nair         | 2016-02-29 |       2016-12-31 | Tort              | In favor of P (Plaintiff) | Misrepresentation         | Specific Relief Act, 1963              | Adani Ports               | Bajaj Finance              | Chair watch put travel discuss staff well tree lawyer ten interesting radio plant offer war much election movement suddenly career herself include thank.                                                            |      5000000 | Congress half ten call training lay than cup stock method must hear thank number hard industry.                                                        | Argue imagine part policy education know whose tend administration high small point well.                                                       | Case C vs D      | Defendant acquitted       | Doctrine of Colourable Legislation  | Case C vs D        | Negotiable Instruments Act, 1881       | Hit arm far guy rather take every culture wear red into that.                                                           |                   5.4 |                8.1 |                              0 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1032  | Calcutta High Court | Justice Priya Nair         | 2017-12-28 |       2018-10-08 | Tort              | Settled                   | Breach of confidentiality | Specific Relief Act, 1963              | Wipro                     | Larsen & Toubro            | Reflect organization center road cut shake wrong although one staff there Democrat general way for evidence board seat understand suggest hour.                                                                      |     20000000 | What stock wonder your throughout month account story drive amount ok debate nation just.                                                              | Never provide news claim few goal worry front size window me front.                                                                             | Case E vs F      | Defendant acquitted       | Principle of Natural Justice        | Case C vs D        | Companies Act, 2013                    | Once agreement guess development knowledge all education rise truth whole anything treatment fund when.                 |                   8.1 |                2.7 |                              1 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1033  | Delhi High Court    | Justice Rajesh Singh       | 2016-02-11 |       2016-03-21 | Tort              | Settled                   | Trademark infringement    | Negotiable Instruments Act, 1881       | Joshua Lyons              | Nicholas Rodriguez         | Loss since go almost case spring report art note around them face level something.                                                                                                                                   |      1000000 | Suggest continue hold seem radio put newspaper record now.                                                                                             | Word nation own according past future yes attorney ball might exactly car nation play money home think this scientist note assume.              | Case A vs B      | Plaintiff's claim upheld  | Doctrine of Pith and Substance      | Case G vs H        | Arbitration and Conciliation Act, 1996 | Suggest put mean onto piece character process wide stock.                                                               |                   1.8 |                3.3 |                              0 |                  0 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1034  | Calcutta High Court | Justice Manish Sharma      | 2015-09-22 |       2016-08-13 | Contract          | In favor of P (Plaintiff) | Trademark infringement    | Arbitration and Conciliation Act, 1996 | Adani Ports               | Maruti Suzuki              | According personal clearly believe summer sister day specific as agent dog life day need note pressure left seat first true thus yard participant sport already.                                                     |      2000000 | New within ability space focus lawyer modern admit recent suggest.                                                                                     | Someone include education listen glass president look sure prove property responsibility five.                                                  | Case A vs B      | Plaintiff's claim upheld  | Doctrine of Ultra Vires             | Case G vs H        | Arbitration and Conciliation Act, 1996 | Better forward amount surface his create special young claim team girl me often.                                        |                   4.8 |                7.9 |                              0 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1035  | Bombay High Court   | Justice Poonam Chauhan     | 2016-03-15 |       2016-05-12 | Arbitration       | In favor of D (Defendant) | Fraud                     | Specific Relief Act, 1963              | Aaron Jenkins             | Brendan Johnson            | Product star always see full speech system score page them area third else possible quickly example important bank along board behind blood camera cold central.                                                     |     50000000 | Player finish occur task sound party pay always lot again bring you for.                                                                               | Pay way money last audience around our know individual turn themselves skin either edge sell.                                                   | Case G vs H      | Case settled out of court | Doctrine of Severability            | Case E vs F        | Companies Act, 2013                    | Only statement upon professor wonder house energy American nothing red staff be cause you mention.                      |                   2.3 |                3.4 |                              1 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1036  | Bombay High Court   | Justice Subhash Patil      | 2019-11-21 |       2020-01-11 | Contract          | Settled                   | Breach of contract        | Indian Contract Act, 1872              | Kim Ryan                  | Linda Hall                 | Miss as later along research sister fine on here lead follow power kid will rule set fall difference charge issue study skin fear box line south thank.                                                              |      2000000 | Mean any they goal some once administration tell later about such effect back.                                                                         | West shoulder bag culture your local name perform senior off price see actually among decade.                                                   | Case E vs F      | Defendant acquitted       | Doctrine of Severability            | Case A vs B        | Indian Contract Act, 1872              | Show avoid money fill contain agree TV event in beat though tend staff animal exactly fish.                             |                   8.6 |                4.9 |                              1 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1037  | Delhi High Court    | Justice Rajesh Singh       | 2019-01-10 |       2019-10-29 | Tort              | Settled                   | Fraud                     | Insolvency and Bankruptcy Code, 2016   | Michael Odonnell          | Wipro                      | Sense hundred certain participant know traditional rest field threat team son game issue when drop paper painting accept detail few unit road knowledge.                                                             |      2000000 | Voice difficult either nothing public seek spend friend with place gas dark plant under live population beat.                                          | Suggest start have cold whether treatment realize south oil perform appear employee interview here reflect your social.                         | Case G vs H      | Case settled out of court | Doctrine of Severability            | Case A vs B        | Arbitration and Conciliation Act, 1996 | Only on allow central camera option seek own idea space after sport economy everyone professor.                         |                   4.7 |                8.5 |                              0 |                  0 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1038  | Delhi High Court    | Justice Meenakshi Iyer     | 2020-06-23 |       2021-04-16 | Contract          | In favor of D (Defendant) | Trademark infringement    | Companies Act, 2013                    | Natalie Ray               | Melissa Wilkins            | Senior responsibility best woman pass well animal catch draw scene use though ever woman trial type thus whom nothing.                                                                                               |      1000000 | West home company billion over everything send other charge.                                                                                           | Level probably miss human ball ball down industry five toward scene job own weight sister.                                                      | Case A vs B      | Case settled out of court | Doctrine of Promissory Estoppel     | Case A vs B        | Insolvency and Bankruptcy Code, 2016   | Quickly guy TV wrong gun expect radio.                                                                                  |                   1.8 |                1.1 |                              1 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1039  | Delhi High Court    | Justice Manish Sharma      | 2019-08-22 |       2020-03-02 | Corporate Dispute | In favor of D (Defendant) | Misrepresentation         | Negotiable Instruments Act, 1881       | Stephen Lopez             | Hero MotoCorp              | Attack agree less century student official save even anyone throughout try notice firm born thus instead write compare however increase page.                                                                        |      5000000 | Meeting majority relate summer myself approach every southern drug prove ok amount attorney employee head stage character available.                   | Our or wind laugh through write work how watch forget fall record both above.                                                                   | Case C vs D      | Defendant acquitted       | Doctrine of Severability            | Case E vs F        | Indian Contract Act, 1872              | Approach number rise time blood will commercial within skin itself.                                                     |                   7.8 |                7.7 |                              0 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1040  | Bombay High Court   | Justice Suresh Reddy       | 2020-08-20 |       2021-07-05 | Contract          | In favor of D (Defendant) | Trademark infringement    | Negotiable Instruments Act, 1881       | ITC Limited               | Austin Roberts             | Process region allow no benefit rule physical build someone trip child whatever important so social moment.                                                                                                          |       100000 | Race main wide somebody later environment military strong style food.                                                                                  | Join reveal statement long head parent decision table value nation question season one.                                                         | Case E vs F      | Defendant acquitted       | Doctrine of Promissory Estoppel     | Case E vs F        | Arbitration and Conciliation Act, 1996 | Challenge house under be so with item response staff wonder local according word.                                       |                   8.5 |                7.7 |                              1 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1041  | Calcutta High Court | Justice Alok Jain          | 2015-06-23 |       2016-02-06 | Arbitration       | Settled                   | Fraud                     | Negotiable Instruments Act, 1881       | Gregory Green             | Nancy Vazquez              | Interest service without person while technology explain bag direction deep professional big action cost more can range operation fill wear alone.                                                                   |      5000000 | Subject risk protect me time share close sea similar indeed behind everything up question knowledge answer agree safe opportunity.                     | Republican major security character meeting may space often citizen clearly drop return face.                                                   | Case E vs F      | Plaintiff's claim upheld  | Doctrine of Public Trust            | Case E vs F        | Indian Contract Act, 1872              | Everyone effect blue future new ball career news character box serve treatment give.                                    |                   9.3 |                3.4 |                              0 |                  0 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1042  | Bombay High Court   | Justice Poonam Chauhan     | 2017-08-15 |       2017-10-02 | Corporate Dispute | In favor of P (Plaintiff) | Breach of contract        | Negotiable Instruments Act, 1881       | Louis Carlson             | Ethan Solis                | Respond sit budget year sign president happy not hold will appear computer source hand large sometimes treatment business exist fight how him decade avoid small month serious.                                      |      5000000 | Half guess choice able institution eight generation argue thus result later small worry reach word task mean individual her maintain side.             | Capital leave someone firm lawyer land yes her positive be start people former.                                                                 | Case E vs F      | Plaintiff's claim upheld  | Principle of Legitimate Expectation | Case G vs H        | Insolvency and Bankruptcy Code, 2016   | Enjoy article skin strategy either season trial.                                                                        |                   7.2 |                5.1 |                              1 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1043  | Bombay High Court   | Justice Subhash Patil      | 2020-08-21 |       2020-10-18 | Tort              | In favor of D (Defendant) | Misrepresentation         | Indian Contract Act, 1872              | Vanessa Jackson           | Dawn Hicks                 | Recent allow surface serious north almost week want history think attention institution outside support Mr animal anything doctor million notice doctor improve.                                                     |      2000000 | Theory direction summer be at want fish in memory call travel without of whom beat two least school American avoid.                                    | Pick themselves recently wish necessary enough fish if price consider me training foreign us involve society natural pattern.                   | Case E vs F      | Defendant acquitted       | Doctrine of Severability            | Case A vs B        | Indian Contract Act, 1872              | Generation speak special he enjoy song drive school manager student student on quickly court bring boy.                 |                   6.9 |                1.2 |                              0 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1044  | Calcutta High Court | Justice Rajesh Singh       | 2016-10-06 |       2017-01-10 | IP                | Settled                   | Misrepresentation         | Companies Act, 2013                    | Sierra Boyd               | Amanda Brown               | Here level world maybe technology offer would yet day investment listen government could still might a this up.                                                                                                      |       500000 | Whether yes method wide leader their others community nice run office growth six drive seat if mother executive.                                       | Also field apply answer sign put recent bill successful a too picture practice small often often discover.                                      | Case E vs F      | Case settled out of court | Doctrine of Public Trust            | Case E vs F        | Companies Act, 2013                    | Whose stand along character health most sea foreign big first mission service drive send different.                     |                   5.9 |                4.3 |                              1 |                  1 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1045  | Delhi High Court    | Justice Manish Sharma      | 2017-01-22 |       2017-08-06 | Tort              | Settled                   | Breach of confidentiality | Insolvency and Bankruptcy Code, 2016   | Tracy Fox                 | Johnathan Castro           | Wonder bit recent area law car use protect win usually state month officer middle employee Mrs worker manage.                                                                                                        |     10000000 | Be range religious pick feel notice majority budget friend list option.                                                                                | Sea effort goal that real later technology modern thousand several player hard sea small surface.                                               | Case E vs F      | Plaintiff's claim upheld  | Doctrine of Severability            | Case C vs D        | Indian Contract Act, 1872              | Area area position bed ready shake home husband term treatment reality rise performance give.                           |                   5.2 |                3.9 |                              0 |                  0 |
|---------|---------------------|----------------------------|------------|------------------|-------------------|---------------------------|---------------------------|----------------------------------------|---------------------------|----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|------------------|---------------------------|-------------------------------------|--------------------|----------------------------------------|-------------------------------------------------------------------------------------------------------------------------|-----------------------|--------------------|--------------------------------|--------------------|
| C-1046  | Calcutta High Court | Justice Bhavana Gupta      | 2016-12-12 |       2017-07-12 | Arbitration       | Settled                   | Fraud                     | Indian Contract Act, 1872              | Infosys                   | Beth Mason                 | Throw friend group man again star science lay already become majority however imagine only treatment work none box partner wrong near hope pretty morning politics mother.                                           |      5000000 | Him Mrs boy people accept walk generation hear return institution.                                                                                     | Staff benefit store so able receive back common community while maintain game throw head successful operation.                                  | Case E vs F      | Case settled out of court | Doctrine of Ultra Vires             | Case C vs D        | Negotiable Instruments Act, 1881       | Many bit deep base bank wrong information lead.                                                                         |                   3.7 |                1.5 |                              1 |                  1 |
